month,daytime_internal_temp,nighttime_internal_heating,nighttime_internal_no_heat
1,50.75,54.27,20.06
2,54.14,56.7,22.46
3,61.99,62.82,30.56
4,72.16,69.31,39.92
5,80.71,76.77,50
6,89.89,84.42,60.08
7,95.11,89.78,64.94
8,92.44,87.89,62.96
9,83.79,80.38,55.04
10,70.75,68.9,44.96
11,59.36,59.77,35.06
12,52.63,55.4,25.02
